t_norm,offset_px
3.024999999999999911e-01,4.223505249023437500e+02
3.074999999999999956e-01,4.219322204589843750e+02
3.125000000000000000e-01,4.180047912597656250e+02
3.175000000000000044e-01,3.970200500488281250e+02
3.225000000000000089e-01,3.920321960449218750e+02
3.275000000000000133e-01,3.703104248046875000e+02
3.325000000000000178e-01,3.647740783691406250e+02
3.375000000000000222e-01,3.428503723144531250e+02
3.425000000000000266e-01,3.371756286621093750e+02
3.475000000000000311e-01,3.425686950683593750e+02
3.525000000000000355e-01,3.276228637695312500e+02
3.574999999999999845e-01,2.981445312500000000e+02
3.624999999999999889e-01,2.858091735839843750e+02
3.674999999999999933e-01,2.590282897949218750e+02
3.724999999999999978e-01,2.496705322265625000e+02
3.775000000000000022e-01,2.265565643310546875e+02
3.825000000000000067e-01,2.209439697265625000e+02
3.875000000000000111e-01,2.021873626708984375e+02
3.925000000000000155e-01,1.882745361328125000e+02
3.975000000000000200e-01,1.922400054931640625e+02
4.025000000000000244e-01,1.837388305664062500e+02
4.075000000000000289e-01,1.807948150634765625e+02
4.125000000000000333e-01,2.086481781005859375e+02
4.174999999999999822e-01,2.202888946533203125e+02
4.224999999999999867e-01,2.213135223388671875e+02
4.274999999999999911e-01,2.221473236083984375e+02
4.324999999999999956e-01,2.385262298583984375e+02
4.375000000000000000e-01,2.251815948486328125e+02
4.425000000000000044e-01,2.447058258056640625e+02
4.475000000000000089e-01,2.347146148681640625e+02
4.525000000000000133e-01,2.381487426757812500e+02
4.575000000000000178e-01,2.259129638671875000e+02
4.625000000000000222e-01,2.266734619140625000e+02
4.675000000000000266e-01,2.116313934326171875e+02
4.725000000000000311e-01,2.164008789062500000e+02
4.775000000000000355e-01,2.077609252929687500e+02
4.824999999999999845e-01,2.420918579101562500e+02
4.874999999999999889e-01,2.425143890380859375e+02
4.924999999999999933e-01,2.698505859375000000e+02
4.974999999999999978e-01,2.642866210937500000e+02
5.024999999999999467e-01,2.255449371337890625e+02
5.075000000000000622e-01,2.125977783203125000e+02
5.124999999999999556e-01,2.141157684326171875e+02
5.175000000000000711e-01,1.987319641113281250e+02
5.224999999999999645e-01,1.869524536132812500e+02
5.275000000000000799e-01,1.853848571777343750e+02
5.324999999999999734e-01,1.832906646728515625e+02
5.375000000000000888e-01,1.653838958740234375e+02
5.424999999999999822e-01,1.516322479248046875e+02
5.475000000000000977e-01,1.553381958007812500e+02
5.524999999999999911e-01,1.327551116943359375e+02
5.575000000000001066e-01,1.403554840087890625e+02
5.625000000000000000e-01,1.394911804199218750e+02
5.675000000000001155e-01,1.103038558959960938e+02
5.725000000000000089e-01,1.058756027221679688e+02
5.775000000000000133e-01,1.051536407470703125e+02
